ID,name,description,created,last modified,associated groups,associated groups citations
G0022,APT3,"[APT3](https://attack.mitre.org/groups/G0022) is a China-based threat group that researchers have attributed to China's Ministry of State Security.(Citation: FireEye Clandestine Wolf)(Citation: Recorded Future APT3 May 2017) This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap.(Citation: FireEye Clandestine Wolf)(Citation: FireEye Operation Double Tap) As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.(Citation: Symantec Buckeye)",31 May 2017,16 September 2024,"['Buckeye', 'Gothic Panda', 'Pirpi', 'TG-0110', 'Threat Group-0110', 'UPS Team']","['Symantec Buckeye', 'PWC Pirpi Scanbox', 'Recorded Future APT3 May 2017', 'Symantec Buckeye', 'PWC Pirpi Scanbox', 'Recorded Future APT3 May 2017', 'Symantec Buckeye', 'Recorded Future APT3 May 2017', 'Symantec Buckeye', 'FireEye Clandestine Wolf', 'Recorded Future APT3 May 2017', 'Symantec Buckeye']"
G0013,APT30,"[APT30](https://attack.mitre.org/groups/G0013) is a threat group suspected to be associated with the Chinese government. While [Naikon](https://attack.mitre.org/groups/G0019) shares some characteristics with [APT30](https://attack.mitre.org/groups/G0013), the two groups do not appear to be exact matches.(Citation: FireEye APT30)(Citation: Baumgartner Golovkin Naikon 2015)",31 May 2017,29 July 2020,[''],[]
G0050,APT32,"[APT32](https://attack.mitre.org/groups/G0050) is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia. They have extensively used strategic web compromises to compromise victims.(Citation: FireEye APT32 May 2017)(Citation: Volexity OceanLotus Nov 2017)(Citation: ESET OceanLotus)",14 December 2017,17 April 2024,"['APT-C-00', 'BISMUTH', 'Canvas Cyclone', 'OceanLotus', 'SeaLotus']","['ESET OceanLotus', 'Cybereason Oceanlotus May 2017', 'ESET OceanLotus Mar 2019', 'Amnesty Intl. Ocean Lotus February 2021', 'Microsoft Threat Actor Naming July 2023', 'Microsoft Threat Actor Naming July 2023', 'FireEye APT32 May 2017', 'Volexity OceanLotus Nov 2017', 'Cybereason Oceanlotus May 2017', 'ESET OceanLotus Mar 2019', 'Amnesty Intl. Ocean Lotus February 2021', 'Cybereason Oceanlotus May 2017']"
G0064,APT33,"[APT33](https://attack.mitre.org/groups/G0064) is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the United States, Saudi Arabia, and South Korea, with a particular interest in the aviation and energy sectors.(Citation: FireEye APT33 Sept 2017)(Citation: FireEye APT33 Webinar Sept 2017)",18 April 2018,11 April 2024,"['Elfin', 'HOLMIUM', 'Peach Sandstorm']","['Symantec Elfin Mar 2019', 'Microsoft Holmium June 2020', 'Microsoft Threat Actor Naming July 2023']"
G0067,APT37,"[APT37](https://attack.mitre.org/groups/G0067) is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China, India, Romania, Kuwait, and other parts of the Middle East. [APT37](https://attack.mitre.org/groups/G0067) has also been linked to the following campaigns between 2016-2018: Operation Daybreak, Operation Erebus, Golden Time, Evil New Year, Are you Happy?, FreeMilk, North Korean Human Rights, and Evil New Year 2018.(Citation: FireEye APT37 Feb 2018)(Citation: Securelist ScarCruft Jun 2016)(Citation: Talos Group123)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.",18 April 2018,26 June 2023,"['Group123', 'InkySquid', 'Reaper', 'Ricochet Chollima', 'ScarCruft', 'TEMP.Reaper']","['FireEye APT37 Feb 2018', 'Volexity InkySquid BLUELIGHT August 2021', 'FireEye APT37 Feb 2018', 'CrowdStrike Richochet Chollima September 2021', 'Securelist ScarCruft Jun 2016', 'FireEye APT37 Feb 2018', 'Securelist ScarCruft May 2019', 'FireEye APT37 Feb 2018']"
G0082,APT38,"[APT38](https://attack.mitre.org/groups/G0082) is a North Korean state-sponsored threat group that specializes in financial cyber operations; it has been attributed to the Reconnaissance General Bureau.(Citation: CISA AA20-239A BeagleBoyz August 2020) Active since at least 2014, [APT38](https://attack.mitre.org/groups/G0082) has targeted banks, financial institutions, casinos, cryptocurrency exchanges, SWIFT system endpoints, and ATMs in at least 38 countries worldwide. Significant operations include the 2016 Bank of Bangladesh heist, during which [APT38](https://attack.mitre.org/groups/G0082) stole $81 million, as well as attacks against Bancomext (Citation: FireEye APT38 Oct 2018) and Banco de Chile (Citation: FireEye APT38 Oct 2018); some of their attacks have been destructive.(Citation: CISA AA20-239A BeagleBoyz August 2020)(Citation: FireEye APT38 Oct 2018)(Citation: DOJ North Korea Indictment Feb 2021)(Citation: Kaspersky Lazarus Under The Hood Blog 2017)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.",29 January 2019,26 August 2024,"['BeagleBoyz', 'Bluenoroff', 'COPERNICIUM', 'NICKEL GLADSTONE', 'Sapphire Sleet', 'Stardust Chollima']","['CISA AA20-239A BeagleBoyz August 2020', 'Kaspersky Lazarus Under The Hood Blog 2017', 'Microsoft Threat Actor Naming July 2023', 'SecureWorks NICKEL GLADSTONE profile Sept 2021', 'Microsoft Threat Actor Naming July 2023', 'CrowdStrike Stardust Chollima Profile April 2018', 'CrowdStrike GTR 2021 June 2021']"
G0087,APT39,"[APT39](https://attack.mitre.org/groups/G0087) is one of several names for cyber espionage activity conducted by the Iranian Ministry of Intelligence and Security (MOIS) through the front company Rana Intelligence Computing since at least 2014. [APT39](https://attack.mitre.org/groups/G0087) has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS.(Citation: FireEye APT39 Jan 2019)(Citation: Symantec Chafer Dec 2015)(Citation: FBI FLASH APT39 September 2020)(Citation: Dept. of Treasury Iran Sanctions September 2020)(Citation: DOJ Iran Indictments September 2020)",19 February 2019,11 April 2024,"['Chafer', 'ITG07', 'Remix Kitten']","['FireEye APT39 Jan 2019', 'Symantec Chafer Dec 2015', 'Dark Reading APT39 JAN 2019', 'FBI FLASH APT39 September 2020', 'Dept. of Treasury Iran Sanctions September 2020', 'DOJ Iran Indictments September 2020', 'FBI FLASH APT39 September 2020', 'Dept. of Treasury Iran Sanctions September 2020', 'DOJ Iran Indictments September 2020', 'Crowdstrike GTR2020 Mar 2020']"
G0096,APT41,"[APT41](https://attack.mitre.org/groups/G0096) is a threat group that researchers have assessed as Chinese state-sponsored espionage group that also conducts financially-motivated operations. Active since at least 2012, [APT41](https://attack.mitre.org/groups/G0096) has been observed targeting various industries, including but not limited to healthcare, telecom, technology, finance, education, retail and video game industries in 14 countries.(Citation: apt41_mandiant) Notable behaviors include using a wide range of malware and tools to complete mission objectives. [APT41](https://attack.mitre.org/groups/G0096) overlaps at least partially with public reporting on groups including BARIUM and [Winnti Group](https://attack.mitre.org/groups/G0044).(Citation: FireEye APT41 Aug 2019)(Citation: Group IB APT 41 June 2021)
",23 September 2019,10 October 2024,"['BARIUM', 'Brass Typhoon', 'Wicked Panda']","['Microsoft Threat Actor Naming July 2023', 'Microsoft Threat Actor Naming July 2023', 'Crowdstrike GTR2020 Mar 2020']"
G1023,APT5,"[APT5](https://attack.mitre.org/groups/G1023) is a China-based espionage actor that has been active since at least 2007 primarily targeting the telecommunications, aerospace, and defense industries throughout the U.S., Europe, and Asia. [APT5](https://attack.mitre.org/groups/G1023) has displayed advanced tradecraft and significant interest in compromising networking devices and their underlying software including through the use of zero-day exploits.(Citation: NSA APT5 Citrix Threat Hunting December 2022)(Citation: Microsoft East Asia Threats September 2023)(Citation: Mandiant Pulse Secure Zero-Day April 2021)(Citation: Mandiant Pulse Secure Update May 2021)(Citation: FireEye Southeast Asia Threat Landscape March 2015)(Citation: Mandiant Advanced Persistent Threats)  ",05 February 2024,14 March 2024,"['BRONZE FLEETWOOD', 'Keyhole Panda', 'MANGANESE', 'Mulberry Typhoon', 'UNC2630']","['Secureworks BRONZE FLEETWOOD Profile', 'Microsoft Threat Actor Naming July 2023', 'Secureworks BRONZE FLEETWOOD Profile', 'Microsoft Threat Actor Naming July 2023', 'NSA APT5 Citrix Threat Hunting December 2022', 'Microsoft Threat Actor Naming July 2023', 'Microsoft East Asia Threats September 2023', 'NSA APT5 Citrix Threat Hunting December 2022']"
G1030,Agrius,"[Agrius](https://attack.mitre.org/groups/G1030) is an Iranian threat actor active since 2020 notable for a series of ransomware and wiper operations in the Middle East, with an emphasis on Israeli targets.(Citation: SentinelOne Agrius 2021)(Citation: CheckPoint Agrius 2023) Public reporting has linked [Agrius](https://attack.mitre.org/groups/G1030) to Iran's Ministry of Intelligence and Security (MOIS).(Citation: Microsoft Iran Cyber 2023)",21 May 2024,29 August 2024,"['AMERICIUM', 'Agonizing Serpens', 'BlackShadow', 'Pink Sandstorm']","['Microsoft Threat Actor Naming July 2023', 'Unit42 Agrius 2023', 'CheckPoint Agrius 2023', 'Microsoft Threat Actor Naming July 2023']"
G0130,Ajax Security Team,[Ajax Security Team](https://attack.mitre.org/groups/G0130) is a group that has been active since at least 2010 and believed to be operating out of Iran. By 2014 [Ajax Security Team](https://attack.mitre.org/groups/G0130) transitioned from website defacement operations to malware-based cyber espionage campaigns targeting the US defense industrial base and Iranian users of anti-censorship technologies.(Citation: FireEye Operation Saffron Rose 2013),14 April 2021,09 October 2023,"['AjaxTM', 'Flying Kitten', 'Operation Saffron Rose', 'Operation Woolen-Goldfish', 'Rocket Kitten']","['FireEye Operation Saffron Rose 2013', 'CrowdStrike Flying Kitten ', 'FireEye Operation Saffron Rose 2013', 'Check Point Rocket Kitten', 'TrendMicro Operation Woolen Goldfish March 2015', 'Check Point Rocket Kitten', 'IranThreats Kittens Dec 2017']"
G1024,Akira,"[Akira](https://attack.mitre.org/groups/G1024) is a ransomware variant and ransomware deployment entity active since at least March 2023.(Citation: Arctic Wolf Akira 2023) [Akira](https://attack.mitre.org/groups/G1024) uses compromised credentials to access single-factor external access mechanisms such as VPNs for initial access, then various publicly-available tools and techniques for lateral movement.(Citation: Arctic Wolf Akira 2023)(Citation: Secureworks GOLD SAHARA) [Akira](https://attack.mitre.org/groups/G1024) operations are associated with ""double extortion"" ransomware activity, where data is exfiltrated from victim environments prior to encryption, with threats to publish files if a ransom is not paid. Technical analysis of [Akira](https://attack.mitre.org/software/S1129) ransomware indicates multiple overlaps with and similarities to [Conti](https://attack.mitre.org/software/S0575) malware.(Citation: BushidoToken Akira 2023)",20 February 2024,03 October 2024,"['GOLD SAHARA', 'PUNK SPIDER']","['Secureworks GOLD SAHARA', 'CrowdStrike PUNK SPIDER']"
G0138,Andariel,"[Andariel](https://attack.mitre.org/groups/G0138) is a North Korean state-sponsored threat group that has been active since at least 2009. [Andariel](https://attack.mitre.org/groups/G0138) has primarily focused its operations--which have included destructive attacks--against South Korean government agencies, military organizations, and a variety of domestic companies; they have also conducted cyber financial operations against ATMs, banks, and cryptocurrency exchanges. [Andariel](https://attack.mitre.org/groups/G0138)'s notable activity includes Operation Black Mine, Operation GoldenAxe, and Campaign Rifle.(Citation: FSI Andariel Campaign Rifle July 2017)(Citation: IssueMakersLab Andariel GoldenAxe May 2017)(Citation: AhnLab Andariel Subgroup of Lazarus June 2018)(Citation: TrendMicro New Andariel Tactics July 2018)(Citation: CrowdStrike Silent Chollima Adversary September 2021)

[Andariel](https://attack.mitre.org/groups/G0138) is considered a sub-set of [Lazarus Group](https://attack.mitre.org/groups/G0032), and has been attributed to North Korea's Reconnaissance General Bureau.(Citation: Treasury North Korean Cyber Groups September 2019)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.",29 September 2021,12 September 2024,"['Onyx Sleet', 'PLUTONIUM', 'Silent Chollima']","['Microsoft Threat Actor Naming July 2023', 'Microsoft Threat Actor Naming July 2023', 'CrowdStrike Silent Chollima Adversary September 2021']"
G1007,Aoqin Dragon,"[Aoqin Dragon](https://attack.mitre.org/groups/G1007) is a suspected Chinese cyber espionage threat group that has been active since at least 2013. [Aoqin Dragon](https://attack.mitre.org/groups/G1007) has primarily targeted government, education, and telecommunication organizations in Australia, Cambodia, Hong Kong, Singapore, and Vietnam. Security researchers noted a potential association between [Aoqin Dragon](https://attack.mitre.org/groups/G1007) and UNC94, based on malware, infrastructure, and targets.(Citation: SentinelOne Aoqin Dragon June 2022)",14 July 2022,24 October 2022,[''],[]
G0143,Aquatic Panda,"[Aquatic Panda](https://attack.mitre.org/groups/G0143) is a suspected China-based threat group with a dual mission of intelligence collection and industrial espionage. Active since at least May 2020, [Aquatic Panda](https://attack.mitre.org/groups/G0143) has primarily targeted entities in the telecommunications, technology, and government sectors.(Citation: CrowdStrike AQUATIC PANDA December 2021)",18 January 2022,10 October 2024,[''],[]
G0001,Axiom,"[Axiom](https://attack.mitre.org/groups/G0001) is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008. Some reporting suggests a degree of overlap between [Axiom](https://attack.mitre.org/groups/G0001) and [Winnti Group](https://attack.mitre.org/groups/G0044) but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.(Citation: Kaspersky Winnti April 2013)(Citation: Kaspersky Winnti June 2015)(Citation: Novetta Winnti April 2015)",31 May 2017,20 March 2023,['Group 72'],['Cisco Group 72']
G1002,BITTER,"[BITTER](https://attack.mitre.org/groups/G1002) is a suspected South Asian cyber espionage threat group that has been active since at least 2013. [BITTER](https://attack.mitre.org/groups/G1002) has targeted government, energy, and engineering organizations in Pakistan, China, Bangladesh, and Saudi Arabia.(Citation: Cisco Talos Bitter Bangladesh May 2022)(Citation: Forcepoint BITTER Pakistan Oct 2016)",01 June 2022,11 April 2024,['T-APT-17'],['Cisco Talos Bitter Bangladesh May 2022']
G0060,BRONZE BUTLER,"[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in government, biotechnology, electronics manufacturing, and industrial chemistry.(Citation: Trend Micro Daserf Nov 2017)(Citation: Secureworks BRONZE BUTLER Oct 2017)(Citation: Trend Micro Tick November 2019)",16 January 2018,12 October 2021,"['REDBALDKNIGHT', 'Tick']","['Trend Micro Daserf Nov 2017', 'Trend Micro Tick November 2019', 'Trend Micro Daserf Nov 2017', 'Symantec Tick Apr 2016', 'Trend Micro Tick November 2019']"
G0135,BackdoorDiplomacy,"[BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) is a cyber espionage threat group that has been active since at least 2017. [BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) has targeted Ministries of Foreign Affairs and telecommunication companies in Africa, Europe, the Middle East, and Asia.(Citation: ESET BackdoorDiplomacy Jun 2021)",21 September 2021,18 October 2021,[''],[]
G0063,BlackOasis,"[BlackOasis](https://attack.mitre.org/groups/G0063) is a Middle Eastern threat group that is believed to be a customer of Gamma Group. The group has shown interest in prominent figures in the United Nations, as well as opposition bloggers, activists, regional news correspondents, and think tanks. (Citation: Securelist BlackOasis Oct 2017) (Citation: Securelist APT Trends Q2 2017) A group known by Microsoft as [NEODYMIUM](https://attack.mitre.org/groups/G0055) is reportedly associated closely with [BlackOasis](https://attack.mitre.org/groups/G0063) operations, but evidence that the group names are aliases has not been identified. (Citation: CyberScoop BlackOasis Oct 2017)",18 April 2018,17 October 2018,[''],[]
G0098,BlackTech,"[BlackTech](https://attack.mitre.org/groups/G0098) is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013. [BlackTech](https://attack.mitre.org/groups/G0098) has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks.(Citation: TrendMicro BlackTech June 2017)(Citation: Symantec Palmerworm Sep 2020)(Citation: Reuters Taiwan BlackTech August 2020)",05 May 2020,06 April 2022,['Palmerworm'],"['Symantec Palmerworm Sep 2020', 'IronNet BlackTech Oct 2021']"
G0108,Blue Mockingbird,[Blue Mockingbird](https://attack.mitre.org/groups/G0108) is a cluster of observed activity involving Monero cryptocurrency-mining payloads in dynamic-link library (DLL) form on Windows systems. The earliest observed Blue Mockingbird tools were created in December 2019.(Citation: RedCanary Mockingbird May 2020),26 May 2020,10 July 2024,[''],[]
G1012,CURIUM,"[CURIUM](https://attack.mitre.org/groups/G1012) is an Iranian threat group, first reported in September 2019 and active since at least July 2018, targeting IT service providers in the Middle East.(Citation: Symantec Tortoiseshell 2019) [CURIUM](https://attack.mitre.org/groups/G1012) has since invested in building relationships with potential targets via social media over a period of months to establish trust and confidence before sending malware. Security researchers note [CURIUM](https://attack.mitre.org/groups/G1012) has demonstrated great patience and persistence by chatting with potential targets daily and sending benign files to help lower their security consciousness.(Citation: Microsoft Iranian Threat Actor Trends November 2021)",13 January 2023,02 October 2024,"['Crimson Sandstorm', 'TA456', 'Tortoise Shell', 'Yellow Liderc']","['Microsoft Threat Actor Naming July 2023', 'Microsoft Threat Actor Naming July 2023', 'Proofpoint TA456 Defense Contractor July 2021', 'Microsoft Threat Actor Naming July 2023', 'PWC Yellow Liderc 2023']"
G0008,Carbanak,[Carbanak](https://attack.mitre.org/groups/G0008) is a cybercriminal group that has used [Carbanak](https://attack.mitre.org/software/S0030) malware to target financial institutions since at least 2013. [Carbanak](https://attack.mitre.org/groups/G0008) may be linked to groups tracked separately as [Cobalt Group](https://attack.mitre.org/groups/G0080) and [FIN7](https://attack.mitre.org/groups/G0046) that have also used [Carbanak](https://attack.mitre.org/software/S0030) malware.(Citation: Kaspersky Carbanak)(Citation: FireEye FIN7 April 2017)(Citation: Europol Cobalt Mar 2018)(Citation: Secureworks GOLD NIAGARA Threat Profile)(Citation: Secureworks GOLD KINGSWOOD Threat Profile),31 May 2017,18 October 2021,['Anunak'],['Fox-It Anunak Feb 2015']
